ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-29846N|refseq:NP_064543|uniprotkb:Q9NQT4	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:22407013|pubmed:DIP-15568S|pubmed:18334637|pubmed:DIP-4757S|pubmed:17185417|pubmed:DIP-16626S|pubmed:17185417|pubmed:DIP-16626S|pubmed:21876179|pubmed:DIP-16116S|pubmed:17185417|pubmed:DIP-16626S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59333E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29862N|refseq:NP_073189|uniprotkb:O35147	DIP-29698N|refseq:NP_001028842|uniprotkb:P53563	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18347331|pubmed:DIP-4765S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59360E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29863N|refseq:NP_001007609|uniprotkb:Q6PEC4	DIP-29864N|refseq:NP_001101768	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18356301|pubmed:DIP-4766S|pubmed:18356301|pubmed:DIP-4766S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59362E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29866N|refseq:NP_446154	DIP-29863N|refseq:NP_001007609|uniprotkb:Q6PEC4	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18356301|pubmed:DIP-4766S|pubmed:18356301|pubmed:DIP-4766S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59363E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29863N|refseq:NP_001007609|uniprotkb:Q6PEC4	DIP-29865N|refseq:NP_001094291|uniprotkb:P39949	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18356301|pubmed:DIP-4766S|pubmed:18356301|pubmed:DIP-4766S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59364E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29877N|refseq:NP_038670|uniprotkb:P28563	DIP-29878N|uniprotkb:P70618	 -	-	-	-	MI:0096(pull down)	-	pubmed:18367666|pubmed:DIP-4776S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59375E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29907N|refseq:NP_034402|uniprotkb:Q9Z1W4	DIP-29906N|uniprotkb:P41413-2	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18378898|pubmed:DIP-4790S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59400E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29907N|refseq:NP_034402|uniprotkb:Q9Z1W4	DIP-29905N|refseq:NP_062119|uniprotkb:Q62849	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18378898|pubmed:DIP-4790S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59401E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29910N|uniprotkb:Q7TMA5	DIP-29911N|refseq:NP_036870|uniprotkb:P04639	 -	-	-	-	MI:0808(comigration in sds page)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18391222|pubmed:DIP-4793S|pubmed:18391222|pubmed:DIP-4793S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-59405E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29867N|refseq:NP_542960|uniprotkb:Q64315	DIP-29863N|refseq:NP_001007609|uniprotkb:Q6PEC4	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18356301|pubmed:DIP-4766S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59499E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29974N|refseq:NP_005537|uniprotkb:Q08881	DIP-2863N|refseq:NP_037319|uniprotkb:P10686	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:18443296|pubmed:DIP-4830S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59504E	dip-quality-status:core	dip:0002(small scale)		-
DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	DIP-30941N|refseq:NP_445912|uniprotkb:Q9EP80	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20018661|pubmed:DIP-16565S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-60421E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33893N|refseq:NP_059028|uniprotkb:P12785	DIP-33893N|refseq:NP_059028|uniprotkb:P12785	-	-	-	-	MI:0410(electron tomography)	-	pubmed:19151726|pubmed:DIP-12515S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-62628E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29761N|refseq:NP_446289|uniprotkb:P84092	DIP-33098N|uniprotkb:P63010	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:25061211|pubmed:DIP-17718S|pubmed:25061211|pubmed:DIP-17718S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-63744E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29528N|uniprotkb:P62161	DIP-35337N|refseq:NP_062187|uniprotkb:P70604	 -	-	-	-	MI:0017(classical fluorescence spectroscopy)|MI:0017(classical fluorescence spectroscopy)|MI:0028(cosedimentation in solution)|MI:0065(isothermal titration calorimetry)	-	pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-64131E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-37486N|uniprotkb:P97879	DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20956289|pubmed:DIP-16181S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-65448E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5715N|refseq:NP_036742|uniprotkb:P07174	DIP-5712N|refseq:NP_002497|uniprotkb:P01138	 -	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:18596692|pubmed:DIP-15486S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-65649E	dip-quality-status:core	dip:0004(small scale)		-
DIP-33953N|refseq:NP_112344|uniprotkb:P53610	DIP-6131N|refseq:NP_036979|uniprotkb:Q04631	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18957540|pubmed:DIP-16612S|pubmed:18957540|pubmed:DIP-16612S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-66037E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-39834N|refseq:NP_766084|uniprotkb:Q5NBX1	DIP-39836N|refseq:NP_058990|uniprotkb:Q9Z0W5	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:26334624|pubmed:DIP-17743S|pubmed:26334624|pubmed:DIP-17743S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-67817E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-32160N|uniprotkb:P17427	DIP-30977N|refseq:NP_071553|uniprotkb:O08838	 -	-	-	-	MI:0096(pull down)	-	pubmed:24130457|pubmed:DIP-16431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-69049E	dip-quality-status:core	dip:0004(small scale)		-
DIP-32160N|uniprotkb:P17427	DIP-30979N|refseq:NP_446411|uniprotkb:O08839	 -	-	-	-	MI:0096(pull down)	-	pubmed:24130457|pubmed:DIP-16431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-69050E	dip-quality-status:core	dip:0004(small scale)		-
DIP-108N|refseq:NP_446240|uniprotkb:P32851	DIP-29205N|refseq:NP_112253|uniprotkb:P60881	 -	-	-	-	MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0055(fluorescent resonance energy transfer)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26389740|pubmed:DIP-17914S|pubmed:26389740|pubmed:DIP-17914S|pubmed:26876096|pubmed:DIP-18011S|pubmed:26389740|pubmed:DIP-17914S|pubmed:18275821|pubmed:DIP-4627S|pubmed:21193638|pubmed:DIP-16021S|pubmed:21193638|pubmed:DIP-16021S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-69543E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-41432N|refseq:NP_439894|uniprotkb:Q9JIR4	DIP-299N|refseq:NP_037184|uniprotkb:P68511	 -	-	-	-	MI:0096(pull down)	-	pubmed:18799741|pubmed:DIP-12586S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-70745E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29639N|refseq:NP_037052|uniprotkb:P11275	DIP-30929N|refseq:NP_113796|uniprotkb:P19490	 -	-	-	-	MI:0424(protein kinase assay)|MI:0424(protein kinase assay)|MI:0424(protein kinase assay)	-	pubmed:21135237|pubmed:DIP-15098S|pubmed:21135237|pubmed:DIP-15098S|pubmed:21135237|pubmed:DIP-15098S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0217(phosphorylation reaction)|MI:0217(phosphorylation reaction)|MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-70502E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-674N|refseq:NP_058706|uniprotkb:P35439	DIP-33702N|uniprotkb:Q00960	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0410(electron tomography)|MI:0030(cross-linking study)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:24876489|pubmed:DIP-17714S|pubmed:21677647|pubmed:DIP-14731S|pubmed:24876489|pubmed:DIP-17714S|pubmed:24876489|pubmed:DIP-17714S|pubmed:24876489|pubmed:DIP-17714S|pubmed:24876489|pubmed:DIP-17714S|pubmed:24876489|pubmed:DIP-17714S|pubmed:21677647|pubmed:DIP-14731S|pubmed:27135925|pubmed:DIP-18126S|pubmed:24876489|pubmed:DIP-17714S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S|pubmed:19243221|pubmed:DIP-12411S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-70936E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-41967N|refseq:NP_037179|uniprotkb:Q01717	DIP-41967N|refseq:NP_037179|uniprotkb:Q01717	-	-	-	-	MI:0807(comigration in gel electrophoresis)	-	pubmed:17989235|pubmed:DIP-11552S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-71534E	dip-quality-status:core	dip:0004(small scale)		-
DIP-42782N|uniprotkb:P10844	DIP-32642N|refseq:NP_036797|uniprotkb:P29101	 -	-	-	-	MI:0096(pull down)|MI:0065(isothermal titration calorimetry)|MI:0096(pull down)	-	pubmed:17167421|pubmed:DIP-16284S|pubmed:17167421|pubmed:DIP-16284S|pubmed:17167421|pubmed:DIP-16284S	taxid:1491(Clostridium botulinum)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-72743E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-44062N|refseq:NP_080543|uniprotkb:Q9CR95	DIP-30977N|refseq:NP_071553|uniprotkb:O08838	 -	-	-	-	MI:0096(pull down)	-	pubmed:24130457|pubmed:DIP-16431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-74726E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44062N|refseq:NP_080543|uniprotkb:Q9CR95	DIP-30979N|refseq:NP_446411|uniprotkb:O08839	 -	-	-	-	MI:0096(pull down)	-	pubmed:24130457|pubmed:DIP-16431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-74728E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5974N|uniprotkb:P45481	DIP-36407N|refseq:NP_112279|uniprotkb:P15337	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:17522630|pubmed:DIP-16016S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-76129E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46027N|refseq:NP_001093940|uniprotkb:P49791	DIP-5929N|refseq:NP_006316|uniprotkb:P62826	 -	-	-	-	MI:0096(pull down)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0018(two hybrid)|MI:0077(nuclear magnetic resonance)	-	pubmed:18611384|pubmed:DIP-11405S|pubmed:18611384|pubmed:DIP-11405S|pubmed:18611384|pubmed:DIP-11405S|pubmed:18611384|pubmed:DIP-11405S|pubmed:18611384|pubmed:DIP-11405S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87768E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46057N|refseq:NP_476538|uniprotkb:Q9EPI6-1	DIP-46059N|refseq:NP_598213|uniprotkb:O88751-1	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:18303947|pubmed:DIP-11431S|pubmed:18303947|pubmed:DIP-11431S|pubmed:18303947|pubmed:DIP-11431S|pubmed:18303947|pubmed:DIP-11431S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87802E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46058N|refseq:NP_001034475|uniprotkb:Q99NF2-1	DIP-46059N|refseq:NP_598213|uniprotkb:O88751-1	 -	-	-	-	MI:0096(pull down)|MI:0018(two hybrid)	-	pubmed:18303947|pubmed:DIP-11431S|pubmed:18303947|pubmed:DIP-11431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87803E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46060N|refseq:NP_942021|uniprotkb:P83953	DIP-46057N|refseq:NP_476538|uniprotkb:Q9EPI6-1	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18303947|pubmed:DIP-11431S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-87804E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46058N|refseq:NP_001034475|uniprotkb:Q99NF2-1	DIP-46060N|refseq:NP_942021|uniprotkb:P83953	 -	-	-	-	MI:0096(pull down)	-	pubmed:18303947|pubmed:DIP-11431S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-87805E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46120N|refseq:XP_001054840	DIP-40821N|refseq:NP_002653|uniprotkb:Q13393	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18550821|pubmed:DIP-11484S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-87923E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46161N|refseq:NP_001101504	DIP-46159N|refseq:NP_001004269|uniprotkb:Q68FQ2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18621709|pubmed:DIP-11518S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-87981E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46160N|uniprotkb:Q6B4M5	DIP-46161N|refseq:NP_001101504	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18621709|pubmed:DIP-11518S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-87983E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46161N|refseq:NP_001101504	DIP-42731N|uniprotkb:Q9WUD9	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18621709|pubmed:DIP-11518S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-87982E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46025N|refseq:NP_064458|uniprotkb:P25961	DIP-599N|refseq:NP_002065|uniprotkb:P62873	 -	-	-	-	MI:0096(pull down)|MI:0107(surface plasmon resonance)	-	pubmed:18611381|pubmed:DIP-11664S|pubmed:18611381|pubmed:DIP-11664S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-87766E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46106N|refseq:NP_114188|uniprotkb:O35433-1	DIP-46106N|refseq:NP_114188|uniprotkb:O35433-1	-	-	-	-	MI:0071(molecular sieving)|MI:0410(electron tomography)	-	pubmed:18490661|pubmed:DIP-11466S|pubmed:18490661|pubmed:DIP-11466S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87881E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29589N|uniprotkb:Q13936	DIP-29528N|uniprotkb:P62161	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18535142|pubmed:DIP-11480S|pubmed:18535142|pubmed:DIP-11480S|pubmed:18535142|pubmed:DIP-11480S|pubmed:18535142|pubmed:DIP-11480S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87914E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46337N|refseq:NP_037010|uniprotkb:P35248	DIP-46337N|refseq:NP_037010|uniprotkb:P35248	-	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0808(comigration in sds page)	-	pubmed:19007302|pubmed:DIP-11665S|pubmed:19007302|pubmed:DIP-11665S|pubmed:19007302|pubmed:DIP-11665S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0195(covalent binding)	MI:0465(dip)	DIP-88301E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46025N|refseq:NP_064458|uniprotkb:P25961	DIP-33949N|refseq:NP_444292|uniprotkb:P59768	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:18611381|pubmed:DIP-11664S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-88089E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46222N|uniprotkb:Q64349	DIP-46223N|refseq:NP_037041|uniprotkb:P34080	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:17940053|pubmed:DIP-11580S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-88077E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46144N|uniprotkb:Q75RY0	DIP-46145N|refseq:NP_434686|uniprotkb:P29476-3	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)	-	pubmed:18591664|pubmed:DIP-11507S|pubmed:18591664|pubmed:DIP-11507S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88113E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46242N|refseq:NP_076472|uniprotkb:Q9ES67	DIP-46241N|refseq:NP_034433|uniprotkb:P27601	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0065(isothermal titration calorimetry)|MI:0071(molecular sieving)	-	pubmed:18940608|pubmed:DIP-11595S|pubmed:18940608|pubmed:DIP-11595S|pubmed:18940608|pubmed:DIP-11595S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88144E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31794N|refseq:NP_001734|uniprotkb:P62158	DIP-41263N|refseq:NP_058708|uniprotkb:P31424	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18715999|pubmed:DIP-11613S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-88180E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46284N|refseq:NP_077046|uniprotkb:P97612	DIP-46284N|refseq:NP_077046|uniprotkb:P97612	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:18753625|pubmed:DIP-11628S|pubmed:18753625|pubmed:DIP-11628S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-88214E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-46314N|refseq:NP_476474|uniprotkb:P97947	DIP-46315N|refseq:NP_001084415	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:17895379|pubmed:DIP-11653S	taxid:10116(Rattus norvegicus)	taxid:8355(Xenopus laevis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-88246E	dip-quality-status:core	dip:0004(small scale)		-
